hotel_id,reco_hotel_id,rank
214531,3864940,6
214531,5229934,7
214531,6688051,8
214531,3697018,9
214531,5228602,10
214936,806029,1
214936,2728663,2
214936,10654585,3
214936,5290126,4
214936,5288506,5
214936,6770797,6
214936,3852925,7
214936,401767,8
214936,421882,9
214936,2726413,10
214945,720394,1
214945,401488,2
214945,3869215,3
214945,4766929,4
214945,5267878,5
214945,6730324,6
214945,2091301,7
214945,5049421,8
214945,10654972,9
214945,4761196,10
215098,1168054,1
215098,1651228,2
215098,3853807,3
215098,5268598,4
215098,6712666,5
215098,6754606,6
215098,6751456,7
215098,6778276,8
215098,604438,9
215098,6774325,10
230362,3733099,1
230362,1502998,2
230362,3751144,3
230362,5797051,4
230362,6756397,5
230362,3864940,6
230362,5229934,7
230362,6688051,8
230362,3697018,9
230362,5228602,10
252682,4768738,1
252682,725947,2
252682,155743,3
252682,423475,4
252682,156067,5
252682,4768180,6
252682,6777331,7
252682,6725896,8
252682,440062,9
252682,465010,10
252700,5304301,1
252700,401416,2
252700,252745,3
252700,6758998,4
252700,1707019,5
252700,522925,6
252700,252772,7
252700,5293609,8
252700,6755344,9
252700,571390,10
252718,4768738,1
252718,725947,2
252718,155743,3
252718,423475,4
252718,156067,5
252718,4768180,6
252718,6777331,7
252718,6725896,8
252718,440062,9
252718,465010,10
252736,3868918,1
252736,5280946,2
252736,5257978,3
252736,3866227,4
252736,6766126,5
252736,1059118,6
252736,6720946,7
252736,10661362,8
252736,5288263,9
252736,1157515,10
252745,5304301,1
252745,401416,2
252745,6758998,3
252745,1707019,4
252745,522925,5
252745,252772,6
252745,5293609,7
252745,6755344,8
252745,252700,9
252745,571390,10
252772,5304301,1
252772,401416,2
252772,252745,3
252772,6758998,4
252772,1707019,5
252772,522925,6
252772,5293609,7
252772,6755344,8
252772,252700,9
252772,571390,10
252781,3863383,1
252781,1714453,2
252781,5323867,3
252781,1001482,4
252781,6757567,5
252781,1694221,6
252781,2907421,7
252781,720358,8
252781,3881086,9
252781,5260570,10
252799,1876381,1
252799,592702,2
252799,10654135,3
252799,5225857,4
252799,53611,5
252799,3696298,6
252799,6021556,7
252799,3470398,8
252799,6731719,9
252799,404332,10
252817,1382119,1
252817,756448,2
252817,2097844,3
252817,631852,4
252817,2058361,5
252817,3693778,6
252817,6665074,7
252817,1062277,8
252817,4906141,9
252817,5329744,10
252826,5325703,1
252826,4758766,2
252826,4756579,3
252826,3854815,4
252826,1025521,5
252826,570778,6
252826,4761763,7
252826,5225560,8
252826,1646197,9
252826,1006531,10
252853,1382119,1
252853,756448,2
252853,2097844,3
252853,631852,4
252853,2058361,5
252853,3693778,6
252853,6665074,7
252853,1062277,8
252853,4906141,9
252853,5329744,10
252862,3868918,1
252862,5280946,2
252862,5257978,3
252862,3866227,4
252862,6766126,5
252862,1059118,6
252862,6720946,7
252862,10661362,8
252862,5288263,9
252862,1157515,10
252907,6736165,1
252907,3877855,2
252907,2978143,3
252907,403522,4
252907,516724,5
252907,5258455,6
252907,3881059,7
252907,5432983,8
252907,5783353,9
252907,3848020,10
252952,203929,1
252952,2916079,2
252952,6682435,3
252952,389257,4
252952,1546288,5
252952,6767926,6
252952,5324875,7
252952,502288,8
252952,401371,9
252952,3852799,10
252970,213073,1
252970,401443,2
252970,4758487,3
252970,253447,4
252970,570760,5
252970,709882,6
252970,4766623,7
252970,92392,8
252970,5228962,9
252970,2097349,10
252979,5225623,1
252979,1651462,2
252979,66517,3
252979,3849568,4
252979,6776179,5
252979,5005096,6
252979,6765388,7
252979,1343842,8
252979,5226334,9
252979,5260642,10
252988,5227783,1
252988,606571,2
252988,612691,3
252988,600280,4
252988,1033234,5
252988,563542,6
252988,6764119,7
252988,5228080,8
252988,6781840,9
252988,597679,10
252997,6085969,1
252997,6700336,2
252997,5140069,3
252997,6763246,4
252997,6699265,5
252997,1506742,6
252997,6666172,7
252997,262537,8
252997,6699274,9
252997,6754975,10
253006,4758865,1
253006,642841,2
253006,3153607,3
253006,6761779,4
253006,6778762,5
253006,5781571,6
253006,1578481,7
253006,303649,8
253006,153565,9
253006,473578,10
253015,5227783,1
253015,606571,2
253015,612691,3
253015,600280,4
253015,1033234,5
253015,563542,6
253015,6764119,7
253015,5228080,8
253015,6781840,9
253015,597679,10
253042,1134025,1
253042,4767649,2
253042,4767190,3
253042,1182310,4
253042,6772156,5
253042,4820200,6
253042,2013001,7
253042,6727300,8
253042,1763953,9
253042,6727309,10
253060,3874174,1
253060,2091364,2
253060,3700096,3
253060,6688096,4
253060,5304085,5
253060,5262748,6
253060,2091346,7
253060,2091220,8
253060,10649455,9
253060,2091175,10
253069,6085969,1
253069,6700336,2
253069,5140069,3
253069,6763246,4
253069,6699265,5
253069,1506742,6
253069,6666172,7
253069,262537,8
253069,6699274,9
253069,6754975,10
253078,6673516,1
253078,6696781,2
253078,6672139,3
253078,1864933,4
253078,6748954,5
253078,6734545,6
253078,6780481,7
253078,6697141,8
253078,6749863,9
253078,6672742,10
253096,3733099,1
253096,1502998,2
253096,3751144,3
253096,5797051,4
253096,6756397,5
253096,3864940,6
253096,5229934,7
253096,6688051,8
253096,3697018,9
253096,5228602,10
253150,6759655,1
253150,1771621,2
253150,10637089,3
253150,1159855,4
253150,1252186,5
253150,6743824,6
253150,10660453,7
253150,6760132,8
253150,3802759,9
253150,5224453,10
253168,5230267,1
253168,608128,2
253168,200311,3
253168,2093848,4
253168,6734473,5
253168,5456833,6
253168,468790,7
253168,463876,8
253168,6776449,9
253168,3759082,10
253177,1639555,1
253177,1333060,2
253177,4767424,3
253177,6733429,4
253177,566116,5
253177,5304580,6
253177,1736782,7
253177,2102587,8
253177,5267284,9
253177,3862843,10
253186,5227783,1
253186,606571,2
253186,612691,3
253186,600280,4
253186,1033234,5
253186,563542,6
253186,6764119,7
253186,5228080,8
253186,6781840,9
253186,597679,10
253204,203929,1
253204,2916079,2
253204,6682435,3
253204,389257,4
253204,1546288,5
253204,6767926,6
253204,5324875,7
253204,502288,8
253204,401371,9
253204,3852799,10
253231,4758865,1
253231,642841,2
253231,3153607,3
253231,6761779,4
253231,6778762,5
253231,5781571,6
253231,1578481,7
253231,303649,8
253231,153565,9
253231,473578,10
253240,1382119,1
253240,756448,2
253240,2097844,3
253240,631852,4
253240,2058361,5
253240,3693778,6
253240,6665074,7
253240,1062277,8
